geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36081006502,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,8.391131126047632e-09,0.0,1.646050517858404e-08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4004
36045060902,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.600052957275687e-07,0.0,2.457302404084195e-07,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2656
36019102200,2.446079940002144e-11,3.0,0.0,0.0,0.0,3.192066825996312e-11,0.0,0.0,1.0373676628909558e-07,1.1052356524997758e-10,1.4351946709040274e-07,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3199
36067010100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5958035999708e-13,2.3275655980103785e-07,0.0,2.791775538430868e-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2854
36031960100,0.0,0.0,0.0,0.0,0.0,0.0,2.213940782757739e-07,2.834172304899502e-10,1.3290611292915384e-06,0.0,1.1218510920044224e-06,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2476
36013037100,0.0,3.0,4.0,0.0,0.0,2.516841325007487e-12,0.0,0.0,2.2329457928665561e-07,0.0,6.312762099681461e-07,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4137
36047021300,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2098446570441144e-08,0.0,2.7720760894827463e-08,0.0,4.0,0.0,0.0,5.0,0.0,0.0,3880
36119002300,0.0,0.0,0.0,0.0,0.0,9.1668489000249e-13,5.45135938896315e-08,0.0,9.65063963412766e-08,0.0,1.1967284793105853e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3930
36005043400,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.178719362781399e-08,0.0,6.540714176158738e-08,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3649
36061017900,0.0,27.0,1.0,1.0,1.0,0.0,9.745907793402148e-09,0.0,1.3412370181617752e-08,0.0,1.66778305953762e-08,0.0,8.0,0.0,1.0,2.0,0.0,0.0,9103
36029013502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.979409480497622e-11,6.322618499041659e-07,0.0,6.372501227042724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7120
36081040400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.984419200028218e-13,5.020243085913757e-08,0.0,1.5740686472333282e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270
36111954100,0.0,0.0,1.0,0.0,0.0,0.0,1.0950742206123857e-07,0.0,1.0036749765891966e-06,2.6026704925004307e-10,7.729277501940628e-07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5304
