STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36093033500,New York,1.1283669327703324e-10,0.4944
NY,36059405900,New York,7.505494905655581e-11,0.2173
NY,36059406001,New York,5.45464859184131e-11,0.3896
NY,36059406002,New York,3.703157892263438e-11,0.4556
NY,36059406100,New York,3.821705781612781e-11,0.0732
NY,36059517102,New York,6.472181049743337e-11,0.3337
NY,36059517301,New York,1.0143762207699048e-10,0.6602
NY,36037951200,New York,7.221691676892663e-10,0.3679
NY,36037951400,New York,9.16672449705712e-09,0.2523
NY,36037950700,New York,1.1504914769876375e-10,0.483
NY,36067011900,New York,3.3947729771574003e-09,0.1438
NY,36059517302,New York,1.0059227066699652e-10,0.6885
NY,36059517400,New York,2.0943990248216773e-10,0.263
NY,36059517500,New York,1.3077188233848413e-10,0.0692
NY,36037951000,New York,1.3529264930471507e-10,0.5119
NY,36027110003,New York,2.379138318694838e-09,0.194
NY,36059408100,New York,9.293724947993214e-11,0.2732
NY,36027170000,New York,5.455044897938321e-09,0.2423
NY,36027180001,New York,4.03014376427031e-09,0.482
NY,36059408200,New York,8.744037013242102e-11,0.2888
NY,36059408300,New York,9.052653612136183e-11,0.29
NY,36059408400,New York,5.997065781916788e-11,0.1293
NY,36059408500,New York,8.761683476965448e-11,0.0207
NY,36059408600,New York,6.028337128845047e-11,0.1367
NY,36059408700,New York,5.626458248230514e-11,0.1363
NY,36059409000,New York,9.666055326722496e-11,0.169
NY,36059517902,New York,1.183442129392902e-09,0.1177
NY,36059302600,New York,1.9602720549070893e-11,0.1873
NY,36059414100,New York,7.331277864689494e-11,0.5872
NY,36059517701,New York,1.5378068865001102e-09,0.1426
NY,36059520900,New York,7.151614179336232e-11,0.0675
NY,36027210101,New York,1.4852207410153207e-10,0.629
NY,36109002100,New York,3.7247984626426634e-09,0.5687
NY,36109000300,New York,1.6883408989343284e-10,0.5121
NY,36109001100,New York,7.646287492235726e-10,0.3548
NY,36109001800,New York,6.985265798289065e-09,0.281
NY,36109000700,New York,7.152641017605563e-11,0.259
NY,36109001400,New York,2.2559491589786745e-09,0.2725
NY,36109002200,New York,3.3672415933508267e-09,0.4524
NY,36109001700,New York,5.068658765090401e-09,0.2527
NY,36059518000,New York,1.74562612680258e-10,0.6688
NY,36059518100,New York,1.1234769702455408e-10,0.0198
NY,36059518203,New York,2.8206833444610504e-10,0.228
NY,36059518204,New York,2.5411247917413305e-10,0.0658
NY,36059518400,New York,1.2836478077105346e-10,0.0782
NY,36059518501,New York,2.785088382933309e-10,0.4394
NY,36059518502,New York,4.8909343436338915e-11,0.1476
NY,36063022200,New York,1.550718184677593e-10,0.2677
NY,36059404901,New York,4.689956302776392e-11,0.2563
NY,36059416300,New York,2.459554672787986e-10,0.0397
NY,36059410600,New York,6.764494453073212e-11,0.4499
NY,36109001000,New York,1.3256976060646342e-09,0.6714
NY,36109001500,New York,2.0257979102709204e-09,0.428
NY,36109000100,New York,2.1850690370269657e-11,0.2069
NY,36109000600,New York,5.564545462405578e-10,0.4043
NY,36089490800,New York,3.552329279176289e-09,0.4799
NY,36059518600,New York,1.1021975975142575e-10,0.2926
NY,36059518700,New York,1.5229259642593714e-10,0.186
NY,36059518800,New York,7.295984396703042e-11,0.0502
NY,36059520600,New York,7.920856834911596e-11,0.0337
NY,36059520700,New York,6.885314398253877e-11,0.0072
NY,36059520800,New York,6.591081160642446e-11,0.0154
NY,36059521000,New York,1.1381768560150536e-10,0.1112
NY,36059521100,New York,6.437898821499984e-11,0.016
NY,36063022300,New York,5.431827318843667e-11,0.0713
NY,36059521301,New York,6.841957518179473e-11,0.0078
NY,36059521302,New York,1.0232547462989997e-10,0.004
NY,36059521500,New York,5.6972784863382356e-11,0.1082
NY,36059521602,New York,4.372424550787372e-11,0.0666
NY,36059521700,New York,8.251845573652527e-11,0.0584
NY,36063022500,New York,5.860652895108554e-11,0.4917
NY,36063022401,New York,7.488092052990689e-11,0.0909
NY,36059406201,New York,8.581485793239652e-11,0.4564
